Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.2866851212471988
75% Corpus,2,0.01,0.31,0.25594763987672664
75% Corpus,2,0.01,0.61,0.2814284910392698
75% Corpus,2,0.01,0.9099999999999999,0.3108993598251729
75% Corpus,2,0.01,symmetric,0.28532986897630325
75% Corpus,2,0.31,0.01,0.27704041019055164
75% Corpus,2,0.31,0.31,0.2788373463770438
75% Corpus,2,0.31,0.61,0.31121598722290195
75% Corpus,2,0.31,0.9099999999999999,0.277351500731232
75% Corpus,2,0.31,symmetric,0.2560525316511374
75% Corpus,2,0.61,0.01,0.31007592806559703
75% Corpus,2,0.61,0.31,0.28663739827338375
75% Corpus,2,0.61,0.61,0.309371633236988
75% Corpus,2,0.61,0.9099999999999999,0.28794373075993773
75% Corpus,2,0.61,symmetric,0.3091311035408587
75% Corpus,2,0.9099999999999999,0.01,0.31007592806559703
75% Corpus,2,0.9099999999999999,0.31,0.28663739827338375
75% Corpus,2,0.9099999999999999,0.61,0.27518370529004327
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.27937635793510457
75% Corpus,2,0.9099999999999999,symmetric,0.27518370529004327
75% Corpus,2,symmetric,0.01,0.28067125528120457
75% Corpus,2,symmetric,0.31,0.28399160781100563
75% Corpus,2,symmetric,0.61,0.28399160781100563
75% Corpus,2,symmetric,0.9099999999999999,0.2799669604525955
75% Corpus,2,symmetric,symmetric,0.2797264307564662
75% Corpus,2,asymmetric,0.01,0.35643115511797563
75% Corpus,2,asymmetric,0.31,0.4386879471233346
75% Corpus,2,asymmetric,0.61,0.4525454639605514
75% Corpus,2,asymmetric,0.9099999999999999,0.5336204191590809
75% Corpus,2,asymmetric,symmetric,0.45752371437646644
75% Corpus,3,0.01,0.01,0.36427252953348893
75% Corpus,3,0.01,0.31,0.31592219899041835
75% Corpus,3,0.01,0.61,0.3178363090280638
75% Corpus,3,0.01,0.9099999999999999,0.31283160210288485
75% Corpus,3,0.01,symmetric,0.31284866252487964
75% Corpus,3,0.31,0.01,0.31529387405430614
75% Corpus,3,0.31,0.31,0.3274025924969522
75% Corpus,3,0.31,0.61,0.3342914651747663
75% Corpus,3,0.31,0.9099999999999999,0.32173714013085103
75% Corpus,3,0.31,symmetric,0.3082785326391069
75% Corpus,3,0.61,0.01,0.31383971408031097
75% Corpus,3,0.61,0.31,0.2962695618849213
75% Corpus,3,0.61,0.61,0.34032156985688006
75% Corpus,3,0.61,0.9099999999999999,0.3155729805706388
75% Corpus,3,0.61,symmetric,0.34086419470914686
75% Corpus,3,0.9099999999999999,0.01,0.3116866258178935
75% Corpus,3,0.9099999999999999,0.31,0.28824309362551587
75% Corpus,3,0.9099999999999999,0.61,0.31594804448283503
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.28320636632572416
75% Corpus,3,0.9099999999999999,symmetric,0.2855170102932916
75% Corpus,3,symmetric,0.01,0.3138397140803109
75% Corpus,3,symmetric,0.31,0.3254374225375765
75% Corpus,3,symmetric,0.61,0.33167170869742285
75% Corpus,3,symmetric,0.9099999999999999,0.3130151821417125
75% Corpus,3,symmetric,symmetric,0.3348661313807671
75% Corpus,3,asymmetric,0.01,0.3532585171235631
75% Corpus,3,asymmetric,0.31,0.37536623001152397
75% Corpus,3,asymmetric,0.61,0.47360790741485587
75% Corpus,3,asymmetric,0.9099999999999999,0.47521240274764304
75% Corpus,3,asymmetric,symmetric,0.3753662300115241
75% Corpus,4,0.01,0.01,0.27067704763393585
75% Corpus,4,0.01,0.31,0.307407699799022
75% Corpus,4,0.01,0.61,0.2613136701933224
75% Corpus,4,0.01,0.9099999999999999,0.3021054456709995
75% Corpus,4,0.01,symmetric,0.31443446383986545
75% Corpus,4,0.31,0.01,0.3011958566860622
75% Corpus,4,0.31,0.31,0.26450551124250615
75% Corpus,4,0.31,0.61,0.2765953662069752
75% Corpus,4,0.31,0.9099999999999999,0.3024581212338854
75% Corpus,4,0.31,symmetric,0.26084084009047726
75% Corpus,4,0.61,0.01,0.277092897531742
75% Corpus,4,0.61,0.31,0.3044820702191132
75% Corpus,4,0.61,0.61,0.33677481336975545
75% Corpus,4,0.61,0.9099999999999999,0.2872276555967179
75% Corpus,4,0.61,symmetric,0.28947309888982053
75% Corpus,4,0.9099999999999999,0.01,0.2724871943330588
75% Corpus,4,0.9099999999999999,0.31,0.2908692973320433
75% Corpus,4,0.9099999999999999,0.61,0.29897574408594735
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.2775115174459952
75% Corpus,4,0.9099999999999999,symmetric,0.27581394936047177
75% Corpus,4,symmetric,0.01,0.265280570154594
75% Corpus,4,symmetric,0.31,0.2437617213420988
75% Corpus,4,symmetric,0.61,0.28119944227949056
75% Corpus,4,symmetric,0.9099999999999999,0.2774776521541629
75% Corpus,4,symmetric,symmetric,0.30689312231035887
75% Corpus,4,asymmetric,0.01,0.3615440737574907
