Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.01,0.41692341480057815
75% Corpus,5,0.01,0.31,0.3602803349031959
75% Corpus,5,0.01,0.61,0.3644162925670677
75% Corpus,5,0.01,0.9099999999999999,0.3970638407870356
75% Corpus,5,0.01,symmetric,0.3740107482104455
75% Corpus,5,0.31,0.01,0.40587917315628425
75% Corpus,5,0.31,0.31,0.4019417441866405
75% Corpus,5,0.31,0.61,0.41669108839189245
75% Corpus,5,0.31,0.9099999999999999,0.4192192195180282
75% Corpus,5,0.31,symmetric,0.39617327816938525
75% Corpus,5,0.61,0.01,0.41628890756589704
75% Corpus,5,0.61,0.31,0.41425350206895234
75% Corpus,5,0.61,0.61,0.4132155300502968
75% Corpus,5,0.61,0.9099999999999999,0.41681631550309994
75% Corpus,5,0.61,symmetric,0.41690104170756853
75% Corpus,5,0.9099999999999999,0.01,0.374094961907873
75% Corpus,5,0.9099999999999999,0.31,0.3310072034548769
75% Corpus,5,0.9099999999999999,0.61,0.3315825517542379
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.2709590879548077
75% Corpus,5,0.9099999999999999,symmetric,0.33321269279962523
75% Corpus,5,symmetric,0.01,0.39898572237164287
75% Corpus,5,symmetric,0.31,0.4199771484447082
75% Corpus,5,symmetric,0.61,0.3861862614348076
75% Corpus,5,symmetric,0.9099999999999999,0.38826336800906625
75% Corpus,5,symmetric,symmetric,0.40102681018586583
75% Corpus,5,asymmetric,0.01,0.4131018278040689
75% Corpus,5,asymmetric,0.31,0.41507515176501253
75% Corpus,5,asymmetric,0.61,0.49032595526122347
75% Corpus,5,asymmetric,0.9099999999999999,
75% Corpus,5,asymmetric,symmetric,0.3914814285799595
75% Corpus,6,0.01,0.01,0.40536175594524865
75% Corpus,6,0.01,0.31,0.3790411841485201
75% Corpus,6,0.01,0.61,0.36044483143824585
75% Corpus,6,0.01,0.9099999999999999,0.393649946840831
75% Corpus,6,0.01,symmetric,0.4285269584101858
75% Corpus,6,0.31,0.01,0.40380413609531945
75% Corpus,6,0.31,0.31,0.42876447164686066
75% Corpus,6,0.31,0.61,0.40113258746070696
75% Corpus,6,0.31,0.9099999999999999,0.3636439134136132
75% Corpus,6,0.31,symmetric,0.3961323583410803
75% Corpus,6,0.61,0.01,0.41224365256029993
75% Corpus,6,0.61,0.31,0.39463890721781386
75% Corpus,6,0.61,0.61,0.40168256446496836
75% Corpus,6,0.61,0.9099999999999999,0.3581060302234403
75% Corpus,6,0.61,symmetric,0.39398236752942006
75% Corpus,6,0.9099999999999999,0.01,0.3604430573195625
75% Corpus,6,0.9099999999999999,0.31,0.3318258876983564
75% Corpus,6,0.9099999999999999,0.61,0.30865765502742515
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.2856414388514195
75% Corpus,6,0.9099999999999999,symmetric,0.34228624912484884
75% Corpus,6,symmetric,0.01,0.3728894988065124
75% Corpus,6,symmetric,0.31,0.38972663103879673
75% Corpus,6,symmetric,0.61,0.3926303545394149
75% Corpus,6,symmetric,0.9099999999999999,0.4110096790725239
75% Corpus,6,symmetric,symmetric,0.39794363950668726
75% Corpus,6,asymmetric,0.01,0.44051332804503857
75% Corpus,6,asymmetric,0.31,0.4148295055902576
75% Corpus,6,asymmetric,0.61,
75% Corpus,6,asymmetric,0.9099999999999999,
75% Corpus,6,asymmetric,symmetric,0.4510927134897946
75% Corpus,7,0.01,0.01,0.4384299222359009
75% Corpus,7,0.01,0.31,0.36286313870048675
75% Corpus,7,0.01,0.61,0.3882116670546835
75% Corpus,7,0.01,0.9099999999999999,0.44703751152699567
75% Corpus,7,0.01,symmetric,0.419848226720441
75% Corpus,7,0.31,0.01,0.41758284963701137
75% Corpus,7,0.31,0.31,0.4365484681271104
75% Corpus,7,0.31,0.61,0.4439138875611862
75% Corpus,7,0.31,0.9099999999999999,0.40744134555675393
75% Corpus,7,0.31,symmetric,0.4174669773199216
75% Corpus,7,0.61,0.01,0.4343192190350453
75% Corpus,7,0.61,0.31,0.40558297096128054
75% Corpus,7,0.61,0.61,0.3635275563671128
75% Corpus,7,0.61,0.9099999999999999,0.3583158100359237
75% Corpus,7,0.61,symmetric,0.4116823819204073
75% Corpus,7,0.9099999999999999,0.01,0.39387442773876025
75% Corpus,7,0.9099999999999999,0.31,0.31805675636990266
75% Corpus,7,0.9099999999999999,0.61,0.2972283021251583
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.28026482339981335
75% Corpus,7,0.9099999999999999,symmetric,0.3413968421103553
75% Corpus,7,symmetric,0.01,0.3995733675317494
75% Corpus,7,symmetric,0.31,0.39583313649226637
75% Corpus,7,symmetric,0.61,0.38940388000677606
75% Corpus,7,symmetric,0.9099999999999999,0.4209136037296051
75% Corpus,7,symmetric,symmetric,0.3881164528762248
75% Corpus,7,asymmetric,0.01,0.4444960530301511
75% Corpus,7,asymmetric,0.31,
75% Corpus,7,asymmetric,0.61,
75% Corpus,7,asymmetric,0.9099999999999999,
75% Corpus,7,asymmetric,symmetric,0.5019092840247324
75% Corpus,8,0.01,0.01,0.4025372205691672
75% Corpus,8,0.01,0.31,0.3997395307036551
75% Corpus,8,0.01,0.61,0.4065380646346391
75% Corpus,8,0.01,0.9099999999999999,0.4144406717885315
75% Corpus,8,0.01,symmetric,0.37637048340798995
75% Corpus,8,0.31,0.01,0.4259981097131363
75% Corpus,8,0.31,0.31,0.4400747030725678
75% Corpus,8,0.31,0.61,0.40696290648154554
75% Corpus,8,0.31,0.9099999999999999,
75% Corpus,8,0.31,symmetric,0.4170465430492683
75% Corpus,8,0.61,0.01,0.41042481650083157
75% Corpus,8,0.61,0.31,0.37520678233405913
75% Corpus,8,0.61,0.61,0.37555081682791513
75% Corpus,8,0.61,0.9099999999999999,0.3774016786838157
