Company,Interview Questions,Date,Candidate,Offer?,Experience,Difficulty of Interview,How the candidate applied,Process,Who found review helpful
Google,Why you ? What brough tyou here ?,"May 30, 2023",Anonymous Interview Candidate in Zürich,Declined Offer,Neutral Experience,Difficult Interview,I interviewed at Google (Zürich),It wa s avery smooth interviw . I really liked it. Looking forward for the next one with my google fellows. I will be glad to take another one and another one and another one.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,How would you optimize a database query? How would you evaluate the performance of a machine learning algorithm?,"May 18, 2023",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Google,They asked me about my technical skills and statistics and probability questions via a phone interview. The questions were very simple and were very similar to what I got from other interviews.,"2 people found this interview helpful
 Helpful
 Share
 Report"
Google,predict some metrics using regression,"May 4, 2023","Anonymous Interview Candidate in Mountain View, CA",No Offer,Positive Experience,Difficult Interview,"I interviewed at Google (Mountain View, CA)","brainstorm some statistics question with the interviewer, the interview is very nice and give many hints along the way. The interview will give a hypothetic business question and ask you what is correct metrics","1 person found this interview helpful
 Helpful
 Share
 Report"
Google,How would you forecast a brands sales.,"May 2, 2023","Anonymous Interview Candidate in London, England",No Offer,Neutral Experience,Difficult Interview,"I interviewed at Google (London, England)","Few relatively simple technical questions. Very heavy advertising subject matter. They were not so much interested in computer science / algos rather, they preferred market as tech knowledge. They provided a good intro document before the interview. It’s difficult to pinpoint exactly what they were looking for","1 person found this interview helpful
 Helpful
 Share
 Report"
Google,I signed an NDA cannot disclose those,"Mar 27, 2023",Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,I interviewed at Google,There is s a tech screen and then an onsite. You need to pass the tech screen first. Then you get to the onsite. The onsite was like 6 interviews.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Google,How to implement the bootstrap?,"Feb 24, 2023",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Google,"Screening interview with the recruiter, 1 hour interview with a data scientist, then a full day interview with data scientists and 1 HR employee. There was a mix up with one of the interviews during the full day, so we had to make up that interview on another day.","1 person found this interview helpful
 Helpful
 Share
 Report"
Google,- what is your name and surname?,"Feb 15, 2023",Anonymous Interview Candidate,No Offer,Neutral Experience,Easy Interview,I interviewed at Google,"5 call interview, first with HR. Don’t know what is next because didn’t show up to the interview. The first interview was quite easy to evaluate culture fit of the candidate","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,coding: ‍‌‌‌‍‍‍‌‌‌‍‌data manipulation. data intuition and statistics,"Jan 23, 2023",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Google,"Interviewed with Google for Data Scientist Intern on 2022. Three rounds of phone interviews. All the answers were required to be typed in a Google doc. The problems are about statistics, probability and basic coding.","1 person found this interview helpful
 Helpful
 Share
 Report"
Google,Is it good or bad if you apply bootstrapping on samples to increase your sample size?,"Oct 19, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Google,Interviewer was a very nice and respectable person. Got completely grilled but I'm fine with the outcome and it showed my knowledge blind spots. A lot of math and stats based questions instead of applied situations or AB testing or anything.,"2 people found this interview helpful
 Helpful
 Share
 Report"
Google,Given 3 coin tosses of a fair coin result in Heads what is the probability that the 4 coin results in a Head,"Oct 4, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Google in Oct 2022,"first get a call from recruiter collecting background information > then phone screen is scheduled phone screen where you are grilled on resume projects, sql and statistics > onsite interview with grilling on resume, statistics, probability, product sense, googliness","2 people found this interview helpful
 Helpful
 Share
 Report"
