company,title,date,year,rating,pros,cons
Meta,good good good good good,Jun 5,2023,5,good good good good good,"too busy, on boarding process too bad"
Meta,"terrible management, boring work, no culture",Jun 5,2023,2,"the compensation among the highest in the industry, work-life balance can be good depending on team","Zuck has no idea what he's doing, managers play politics and are full of BS, the data science work involves ""finding"" results to support your manager's agenda or negative consequences otherwise, women are often visibly left at the periphery during informal gatherings like lunch, technical abilities of most Data Scientists at the company are not that high (most aren't even seriously proficient in python), very little focused on developing your skills or on career growth (besides climbing the corporate ladder)"
Meta,Data Scientist @ Meta,Jun 6,2023,4,"I loved working at Meta. Tons of autonomy, and mostly A/B testing and statistical work. Machine Learning is handled by Machine Learning Engineers.",Too much job insecurity and wavering priorities by leadership.
Meta,3 years as DS before getting laid off,May 20,2023,4,promote was encouraged if you have the impact and ability. great if you are super talented and works extra hard. Comps and benefits are good. coworkers are smart and works hard.,"super pushy once you become more senior. there will be constant pressure for you to grow faster and be more ""impactful"" when in fact politics easily got in the way and you won't be able to get what you want even if you work hard. easily getting toxic."
Meta,Nice place to work,Jun 1,2023,4,Great opportunities for career growth.,Fierce competition to get in and stay relevant
Meta,good,May 25,2023,5,i would say meta is a good place to work,no specific things to say
Meta,Great place to work,May 18,2023,5,"Smart colleagues, interesting work, good management, great perks, good pay, good work life balance","Mass layoffs, unsure about leadership's decisions on Metaverse"
Meta,Very good company,May 20,2023,5,Very good company for data scientist,work life balance is not very good
Meta,Golden Handcuffs,Apr 22,2023,3,"- Very solid pay and benefits; - Coworkers are generally smart and nice people; - I have decent direct manager who address IC's needs pretty well, but this is team-dependent; - Meta experience is still valued by industry (based on my very limited job hunting experience)","- Responsibilities are unclear, need to fight for the scope and projects; - Skills are not quite transferrable, DS in Meta is essentially DA/BIE in other corporations; - Company culture is quickly degrading, as nowadays efficiency is basically driven by the fear of being laid off; - PSC culture triggers lots of fake impacts that you cannot really talk about when applying to other companies; - It's also bad for your sanity to realize most of the work is not meaningful."
Meta,Bay area,May 10,2023,4,Good benefits and great talents to work with.,"After several rounds of layoff, lost a lot of talent."
Meta,Chaotic,May 14,2023,3,"- Learned a lot, really smart colleagues - Pay - Benefits + nice office (these are going downhill)","- Really stressful. As a DS, so many people are throwing things at you, its nearly impossible not to compromise wlb - Lack of coherent strategy at all levels. Senior leadership is bad. PSC does deincentivizes quality and long term thinking. Output is half baked and low quality"
Meta,Good place to work,May 10,2023,5,awesome awesome awesome awesome awesome,not much cons i can think of
Meta,"Good people, volatile atmosphere",May 8,2023,4,"Pay, people, learning, insurance, 401k",There is a lot of impact to mental health
Meta,very nice interview experience,May 3,2023,5,recruiter will walk you through the details and super responsive,it's a bit hard to interview for a different level
Meta,"Great Perk, Great People, Horrible Leadership",May 22,2023,3,"Great Perk, Great People to work with, learned a lot","Leadership constantly changing directions of company, making reorgs everyday"
Meta,Good place to work,Apr 30,2023,5,"Talented people, challenging problems and good compensation",lots of reorgs and thrash
Meta,"Good benefits, bad work/life balance",Apr 25,2023,4,"Good benefits, collaborative culture, nice and talented co-workers","High impact, move fast culture, which creates a lot of pressure on performance."
Meta,Money was good but stressful and hard to have impact,Apr 21,2023,4,Money People are very nice and smart,It was stressful Terrible leadership Unfair review process No real chance for advancement
Meta,Good,Apr 23,2023,5,Good on almost everything you can think if,Good quality start to tank
Meta,Was great but getting more corporate by the day,Apr 3,2023,4,Employees have agency over many aspects of the business Strong measurement/impact culture,Decision-making slowing down as it gets bigger as a company Getting more political as more and more layers are added
Meta,Stressful environment but good perks,Apr 20,2023,3,"Good perks (competitive salary, stock grants, decent bonus), slightly engaging work",Extremely stressful environment with a lot of operational work that is mind-numbing
Meta,think twice before joining,Apr 25,2023,3,"Good compensation, welfare, reputation and impact.","Work life balance, peer pressure"
Meta,"Fast paced, intellectually stimulating, great place to build skills & career",Apr 6,2023,5,"Fast paced, intellectually stimulating, great place to build skills & career","Stress & WLB is trash. Upper management doesn't view employees as humans, and instead as numbers on a spreadsheet."
Meta,Great company until layoffs,Apr 2,2023,5,"perks are great, offices are bright and filled with tasty food. Coworkers are amazing. communication via workplace is addicting","inconsistent priorities, layoffs, too heavy of a focus on impact, projects are short term focused"
Meta,"Good pay, bad hours, bad to mental health",Apr 15,2023,4,"Good pay, smart people, bottom up structure","Long hours, high mental stress, super competitive, toxic competition culture"
Meta,NOT GOOG PLACE TO BE,May 4,2023,1,"good perks to get, free food",Bad management too many layers of mangers
Meta,DS review,Apr 2,2023,3,"learn fast, move fast, good pay","- hourly pay is actually low when you take account into total hours. - lots of BS; Ppl only look into metrics, and they don't care about actual product"
Meta,RDS is going to be a history,Apr 12,2023,4,A lot of skills are required.,Easier to be laid off.
Meta,Great,Mar 14,2023,5,Good pay and good benefits,People got laid off recently
Meta,Good benefits,Jan 27,2023,4,Benefits are great and colleagues can be really smart,"It’s a big company and can give you the feeling of being just another cog. They also didn’t handle the layoffs very well, but it’s their first one and it’s never easy to do a good job laying off people"
Meta,"Terrible leadership, thrash & inefficiency, but good pay and coworkers",Mar 18,2023,1,"Pay, high quality ICs, remote friendly for now, benefits","I’ve worked at 8 places the last 15 years and the 3 at meta are by far the ones with the worst leadership. A lot of people were in the right place at the right time and attached to a rocket ship, but are quite incompetent for the current circumstances."
Meta,A good place to work,Feb 1,2023,5,"Sharp, challenging people Interesting problems Good pay and perks","Culture can be a bit manic at times Workload can go up and down, but people are cool about flexible hours"
Meta,"Great Benefits, Chaotic Environment",Mar 13,2023,3,"Benefits + Compensation, People, Technology","WLB, Performance Reviews are Gamed"
Meta,Toxic work culture,Feb 28,2023,2,- good pay - very smart people,- toxic workplace culture - toxic PSC optimization - biased performance ratings
Meta,1year at meta,Feb 3,2023,3,Great benefits and pay is good,Work life balance is not great
Meta,Excellent culture,Nov 29,2022,5,"Fast paced, challenging, but incredibly rewarding with a long run way. The potential for impact is huge here - larger than any prior company I've worked at. I love how Meta embraces innovative thinking, processes, and tools.","The culture thrives on feedback, socialization, and collaboration. Be prepared to share your thoughts and work early and often, and to a large group of stakeholders."
Meta,Good company for DS,Dec 25,2022,5,DS in Meta is very diverse. You can pursue analytic style of career or ML oriented career as well,Too busy. Usually do not have rest during the whole year
Meta,Data Scientist,Jan 7,2023,2,"Perks, Salary, Offices, food are top notch. Work is intresting in some roles.","Toxic culture due to PSC, mangers are not that supportive."
